execution_id,case_id,condition,topology,memory,mentions,facts,candidates,EQUIVALENT,A_ENTAILS_B,B_ENTAILS_A,UNRELATED,oneway,oneway_share_related,oneway_source_involved,oneway_parallel,oneway_invisible,oneway_peer_weaken,oneway_peer_strengthen,oneway_self_weaken,oneway_self_strengthen,oneway_same_cluster,unrelated_same_cluster,peer_weaken_fact_pairs,peer_weaken_text_pairs,peer_weaken_target_facts,peer_strengthen_fact_pairs,peer_strengthen_text_pairs,peer_strengthen_target_facts,self_weaken_fact_pairs,self_weaken_text_pairs,self_weaken_target_facts,self_equivalent_fact_pairs,self_equivalent_text_pairs,self_equivalent_target_facts,peer_equivalent_fact_pairs,peer_equivalent_text_pairs,peer_equivalent_target_facts,self_strengthen_fact_pairs,self_strengthen_text_pairs,self_strengthen_target_facts,peer_weaken_distinct_cluster_pairs,weaken_same_cluster_edges,weaken_same_cluster_target_facts,weaken_latest_delivery_edges,weaken_latest_delivery_target_facts,weaken_new_weak_edges,weaken_new_weak_target_facts,weaken_conservative_candidate_edges,weaken_conservative_candidate_target_facts,weaken_strong_retained_edges,weaken_strong_retained_target_facts,weaken_weak_in_self_edges,weaken_weak_in_self_target_facts,weaken_weak_in_peer_edges,weaken_weak_in_peer_target_facts,weaken_weak_in_source_edges,weaken_weak_in_source_target_facts,later_output_mentions,later_peer_weaken_targets,later_peer_strengthen_targets,later_peer_related_targets,later_peer_weaken_without_peer_equivalence_targets,weaken_target_rate,strengthen_target_rate,conservative_target_rate,two_step_weaken_paths,two_step_distinct_fact_paths
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,full,cumulative,258,195,1649,160,140,253,1096,393,0.7106690777576854,51,131,0,48,86,26,51,43,19,46,48,33,71,86,55,25,26,19,17,29,19,33,62,37,43,51,31,42,6,5,48,33,34,25,31,23,10,9,7,4,11,7,0,0,188,34,60,104,21,0.18085106382978725,0.3191489361702128,0.13142857142857142,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,full,cumulative,304,250,1944,148,144,203,1449,347,0.701010101010101,43,49,0,47,67,51,90,13,11,44,47,36,59,65,47,44,50,38,48,60,43,29,50,24,81,89,62,42,2,2,39,32,27,22,18,18,12,11,18,12,9,7,2,1,191,37,48,81,26,0.193717277486911,0.2513089005235602,0.0972972972972973,2,2
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,full,cumulative,356,291,2414,164,246,256,1748,502,0.7537537537537538,67,121,0,120,99,48,47,22,7,97,115,74,83,99,62,43,46,37,30,35,36,33,58,51,42,47,42,95,8,6,86,63,77,48,67,46,14,10,30,15,37,22,22,8,221,75,62,138,48,0.3393665158371041,0.28054298642533937,0.20909090909090908,16,15
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,full,cumulative,355,272,2405,173,188,221,1823,409,0.7027491408934707,48,92,0,67,102,30,70,28,15,63,67,46,75,101,60,28,30,22,27,34,32,44,72,54,59,70,51,59,4,4,50,39,37,28,31,26,8,7,21,10,21,15,1,1,204,46,60,119,30,0.22549019607843138,0.29411764705882354,0.12745098039215685,1,1
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-49,split-generic,full,cumulative,290,243,1876,111,178,186,1401,364,0.7663157894736842,67,96,0,29,107,14,51,20,10,27,29,24,91,107,59,14,14,13,10,23,17,22,40,27,48,51,32,24,3,3,23,22,22,17,15,14,8,7,2,2,6,6,0,0,223,24,60,85,18,0.10762331838565023,0.26905829596412556,0.06422018348623854,2,2
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-49,split-specialist-aligned,full,cumulative,338,288,2116,122,172,147,1675,319,0.7233560090702947,58,91,0,48,77,20,25,9,2,48,48,34,70,77,47,20,20,17,19,22,21,28,43,33,25,25,21,46,2,2,48,34,39,27,34,26,10,8,6,5,5,4,0,0,223,34,48,92,29,0.15246636771300448,0.21524663677130046,0.1187214611872146,0,0
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-55,full-generic,full,cumulative,378,257,2654,224,204,279,1947,483,0.6831683168316832,39,109,0,83,123,55,74,66,48,61,79,56,83,120,74,45,51,47,34,55,50,42,95,69,63,72,57,57,9,8,58,47,36,25,27,21,22,18,28,20,34,22,4,2,241,56,75,151,34,0.23236514522821577,0.3112033195020747,0.09012875536480687,4,3
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-55,full-specialist,full,cumulative,382,248,2724,287,273,267,1897,540,0.652962515114873,39,119,0,129,116,72,65,85,58,94,124,71,87,114,65,60,71,51,39,72,58,50,120,75,52,63,42,86,24,13,93,61,50,33,34,28,41,25,63,27,68,32,2,1,232,79,72,162,42,0.34051724137931033,0.3103448275862069,0.1308411214953271,11,3
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-55,split-generic,full,cumulative,281,217,1788,149,142,172,1325,314,0.6781857451403888,28,115,0,59,56,19,37,44,28,49,59,36,42,56,37,19,19,16,16,28,21,27,55,36,34,37,30,43,14,10,54,35,29,19,27,18,15,11,13,8,30,17,1,1,189,38,41,84,21,0.20105820105820105,0.21693121693121692,0.09944751381215469,3,2
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-55,split-specialist-aligned,full,cumulative,305,250,2026,109,157,138,1622,295,0.7301980198019802,37,75,0,63,44,33,43,34,21,54,63,40,37,44,28,31,33,28,18,23,21,27,44,29,38,43,30,51,5,3,53,34,34,24,30,23,10,8,15,7,28,15,0,0,201,45,29,72,24,0.22388059701492538,0.14427860696517414,0.11979166666666667,0,0
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-8,full-generic,full,cumulative,355,261,2514,213,225,279,1797,504,0.702928870292887,41,136,0,106,116,46,59,50,47,93,106,54,91,116,70,44,46,35,25,45,35,46,98,60,49,59,45,89,8,4,72,48,67,35,52,31,17,12,29,13,34,16,10,4,205,57,73,135,32,0.2780487804878049,0.35609756097560974,0.15816326530612246,4,3
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-8,full-specialist,full,cumulative,348,266,2443,168,181,229,1865,410,0.7093425605536332,34,94,0,69,134,28,51,38,16,59,67,42,109,132,68,26,28,21,30,45,37,48,78,59,45,50,35,56,7,6,47,35,38,22,30,19,12,10,16,11,30,19,4,3,220,42,68,127,24,0.19090909090909092,0.3090909090909091,0.08796296296296297,0,0
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-8,split-generic,full,cumulative,327,276,2072,162,143,189,1578,332,0.6720647773279352,43,110,0,63,68,24,24,40,5,55,63,40,58,68,42,18,24,15,16,25,18,35,57,38,23,24,19,49,11,8,56,38,40,27,37,25,16,12,13,7,23,13,1,1,220,42,42,94,29,0.19090909090909092,0.19090909090909092,0.1179245283018868,0,0
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-8,split-specialist-aligned,full,cumulative,291,254,1868,104,140,138,1486,278,0.7277486910994765,33,61,0,47,56,44,37,6,2,44,47,34,54,56,37,42,44,32,24,28,21,31,40,29,37,37,35,43,1,1,38,28,36,29,32,26,5,4,3,2,9,4,0,0,210,34,37,85,27,0.1619047619047619,0.1761904761904762,0.125,0,0
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-9,full-generic,full,cumulative,400,296,2689,263,277,321,1828,598,0.6945412311265969,52,139,0,143,140,59,65,59,19,102,131,83,112,133,83,47,57,41,40,67,49,51,97,65,54,59,43,95,20,14,103,74,62,43,54,40,40,24,51,24,66,31,2,2,267,84,83,162,52,0.3146067415730337,0.31086142322097376,0.15267175572519084,15,12
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-9,full-specialist,full,cumulative,344,260,2271,265,304,233,1469,537,0.669576059850374,44,115,0,108,130,82,58,36,39,93,106,75,106,128,78,74,81,49,27,58,36,52,113,59,54,58,46,89,7,6,83,66,63,46,50,40,23,18,22,16,35,23,5,4,213,76,79,151,44,0.3568075117370892,0.37089201877934275,0.19801980198019803,8,6
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-9,split-generic,full,cumulative,385,312,2455,162,180,174,1939,354,0.686046511627907,19,81,0,102,58,57,37,40,34,87,102,54,51,58,39,48,57,34,23,48,26,41,69,44,30,37,25,83,13,5,77,41,57,34,50,29,20,12,26,8,41,16,1,1,302,58,42,109,32,0.19205298013245034,0.1390728476821192,0.10431654676258993,0,0
idrbench-generation-idr-gen-level_1-9-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-9,split-specialist-aligned,full,cumulative,326,263,1931,169,109,217,1436,326,0.6585858585858586,44,79,0,53,70,31,49,38,31,50,53,40,57,70,37,31,31,29,38,44,36,35,51,40,45,49,36,46,6,5,46,35,40,29,31,23,14,12,9,8,8,6,3,2,222,40,40,87,30,0.18018018018018017,0.18018018018018017,0.10697674418604651,0,0
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-92,full-generic,full,cumulative,487,359,3416,293,378,341,2404,719,0.7104743083003953,68,161,0,152,182,72,84,83,52,128,147,84,134,182,97,68,72,53,35,61,44,76,126,88,69,84,58,123,14,9,102,69,79,53,73,50,20,13,49,16,61,25,25,6,304,87,101,195,49,0.28618421052631576,0.33223684210526316,0.1718213058419244,4,3
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-92,full-specialist,full,cumulative,514,346,3547,368,298,480,2401,778,0.6788830715532286,69,197,0,126,222,45,119,123,58,103,122,83,146,195,112,42,45,36,36,71,45,82,155,96,88,117,80,95,19,15,97,77,64,49,55,43,32,26,42,22,55,31,26,14,329,87,122,218,53,0.26443768996960487,0.3708206686930091,0.1396103896103896,5,3
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-92,split-generic,full,cumulative,389,288,2426,274,188,247,1717,435,0.613540197461213,56,144,0,91,59,42,43,45,19,68,86,65,49,55,42,39,40,30,23,53,35,35,85,57,38,41,29,62,15,9,75,55,49,35,36,29,31,19,22,14,34,23,1,1,252,67,42,126,41,0.26587301587301587,0.16666666666666666,0.1228813559322034,4,3
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,full,cumulative,371,283,2368,200,171,266,1731,437,0.6860282574568289,67,134,0,60,88,33,55,89,37,45,60,42,60,88,47,26,33,24,20,39,27,39,83,50,48,53,40,40,15,10,53,39,25,20,17,16,29,22,19,13,34,21,6,4,252,46,49,103,22,0.18253968253968253,0.19444444444444445,0.06808510638297872,4,1
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,full,cumulative,428,338,2847,237,206,363,2041,569,0.705955334987593,42,147,0,81,162,46,91,25,7,70,79,55,139,160,92,41,46,35,38,56,45,64,103,65,81,89,65,66,4,4,61,46,41,32,34,27,8,8,23,15,31,19,0,0,237,57,95,154,29,0.24050632911392406,0.4008438818565401,0.11637931034482758,2,2
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,full,cumulative,414,320,2746,226,269,315,1936,584,0.7209876543209877,88,138,0,107,130,49,72,24,6,78,103,68,116,129,84,38,49,41,41,58,50,62,111,74,67,72,56,73,7,7,82,63,46,33,30,22,17,14,39,24,45,26,0,0,223,68,84,160,42,0.30493273542600896,0.37668161434977576,0.09954751131221719,6,2
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,full,cumulative,361,304,2284,143,182,260,1699,442,0.7555555555555555,75,137,0,68,91,30,41,9,7,65,68,48,79,90,50,30,30,24,21,29,25,34,49,36,33,41,30,65,0,0,65,47,56,39,45,34,7,6,6,3,11,8,0,0,257,48,53,108,36,0.1867704280155642,0.20622568093385213,0.13709677419354838,1,1
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,full,cumulative,372,304,2333,126,209,230,1768,439,0.7769911504424779,60,124,0,95,64,63,33,29,9,76,95,50,56,64,37,57,63,37,21,36,28,35,49,41,31,33,23,73,11,5,85,46,56,32,45,30,23,10,36,15,31,12,0,0,274,53,39,106,41,0.19343065693430658,0.14233576642335766,0.11235955056179775,6,5
